TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET
2.01.2021 00:00;BALIK;TIRSI (DEN›Z);KG;583;125
2.01.2021 00:00;BALIK;KIRLANGI« (DEN›Z);KG;30;800
2.01.2021 00:00;BALIK;«›M«›M (DEN›Z);KG;35;80
2.01.2021 00:00;BALIK;HANOS ( DEN›Z );KG;25;50
2.01.2021 00:00;BALIK;KILI« (DEN›Z);KG;450;450
2.01.2021 00:00;BALIK;L‹FER ( DEN›Z);KG;1300;1300
2.01.2021 00:00;BALIK;USKUMRU (DEN›Z);KG;380;380
2.01.2021 00:00;K‹LT‹R;LEVREK ( K‹LT‹R );KG;250;550
2.01.2021 00:00;BALIK;K÷PEK (DEN›Z);KG;100;100
2.01.2021 00:00;BALIK;ISTAVRIT (DEN›Z);KG;25;667
2.01.2021 00:00;BALIK;IZMARIT (DEN›Z);KG;30;60
2.01.2021 00:00;BALIK;KALAMAR (DEN›Z);KG;900;1200
2.01.2021 00:00;BALIK;S‹BYE (DEN›Z);KG;100;250
2.01.2021 00:00;BALIK;HAMSI (DEN›Z);KG;208;1667
2.01.2021 00:00;BALIK;KOLYOZ (DEN›Z);KG;833;1667
2.01.2021 00:00;BALIK;L›DAK› (DEN›Z);KG;50;130
2.01.2021 00:00;BALIK;PALAMUT-TOR›K (DEN›Z;ADET;350;350
2.01.2021 00:00;BALIK;KEREV›T ( DEN›Z );KG;15;50
2.01.2021 00:00;BALIK;MEZG›T (DEN›Z);KG;30;60
2.01.2021 00:00;BALIK;SOKKAN(DEN›Z);KG;200;200
2.01.2021 00:00;BALIK;BARBUN (TEK›R);KG;100;500
2.01.2021 00:00;BALIK;KOLOR›T(DEN›Z);KG;140;140
2.01.2021 00:00;BALIK;DIL;KG;200;1300
2.01.2021 00:00;BALIK;BARBUN(KAYA);KG;500;1200
2.01.2021 00:00;BALIK;«IPURA (DEN›Z);KG;500;750
2.01.2021 00:00;BALIK;YENGE« (DEN›Z);KG;70;70
