OLCUM_TARIHI;BOLGE_ID;OLCUM_DEGERI;BOLGE_ADI;GAZ_ID;GAZ_ADI
2021-05-31T00:00:00;7;23;BAYRAKLI;1;PM10
2021-05-31T00:00:00;6;17;CIGLI;1;PM10
2021-05-31T00:00:00;5;11;SIRINYER;1;PM10
2021-05-31T00:00:00;4;28;KARSIYAKA;1;PM10
2021-05-31T00:00:00;3;23;GUZELYALI;1;PM10
2021-05-31T00:00:00;2;23;BORNOVA;1;PM10
2021-05-31T00:00:00;1;13;ALSANCAK;1;PM10
2021-05-31T00:00:00;7;16;BAYRAKLI;2;SO2
2021-05-31T00:00:00;6;14;CIGLI;2;SO2
2021-05-31T00:00:00;5;15;SIRINYER;2;SO2
2021-05-31T00:00:00;4;4;KARSIYAKA;2;SO2
2021-05-31T00:00:00;3;17;GUZELYALI;2;SO2
2021-05-31T00:00:00;2;12;BORNOVA;2;SO2
2021-05-31T00:00:00;1;8;ALSANCAK;2;SO2
