YIL;AY;YARDIM_TALEBI;CINSIYET;YAS_ARALIGI;BASVURU_ADEDI
2012;6;AKÜ;ERKEK;25-34;1
2012;8;AKÜ;ERKEK;65+;3
2012;5;AKÜ;KADIN;55-64;1
2012;8;AKÜ;ERKEK;35-44;1
2012;11;AKÜ;ERKEK;45-54;1
2012;8;AKÜ;ERKEK;55-64;2
2012;10;AKÜ;ERKEK;45-54;1
2012;11;AKÜ;KADIN;55-64;1
2012;11;AKÜ;KADIN;35-44;1
2012;8;AKÜ;ERKEK;25-34;1
2012;4;AKÜ;KADIN;55-64;1
2012;5;AŞEVİ;ERKEK;35-44;2
2012;2;AŞEVİ;ERKEK;25-34;1
2012;6;AŞEVİ;ERKEK;35-44;1
2012;6;AŞEVİ;KADIN;25-34;1
2012;11;AŞEVİ;ERKEK;65+;1
2012;1;AŞEVİ;ERKEK;45-54;11
2012;2;AŞEVİ;ERKEK;55-64;7
2012;7;AŞEVİ;KADIN;25-34;1
2012;1;AŞEVİ;KADIN;55-64;2
2012;6;AŞEVİ;ERKEK;45-54;1
2012;8;AŞEVİ;ERKEK;65+;1
2012;9;AŞEVİ;ERKEK;55-64;1
2012;11;AŞEVİ;ERKEK;35-44;1
2012;7;AŞEVİ;ERKEK;45-54;2
2012;11;AŞEVİ;KADIN;65+;1
2012;12;AŞEVİ;ERKEK;45-54;1
2012;7;AŞEVİ;KADIN;45-54;1
2012;10;AŞEVİ;KADIN;35-44;1
2012;3;AŞEVİ;ERKEK;55-64;8
2012;4;AŞEVİ;ERKEK;55-64;1
2012;5;AŞEVİ;KADIN;45-54;1
2012;5;AŞEVİ;ERKEK;25-34;1
2012;7;AŞEVİ;ERKEK;55-64;1
2012;10;AŞEVİ;ERKEK;35-44;1
2012;10;AŞEVİ;ERKEK;55-64;1
2012;5;AŞEVİ;ERKEK;55-64;1
2012;2;AŞEVİ;ERKEK;65+;10
2012;11;AŞEVİ;KADIN;45-54;1
2012;5;AŞEVİ;ERKEK;65+;3
2012;12;AŞEVİ;ERKEK;65+;1
2012;2;AŞEVİ;KADIN;65+;2
2012;6;AŞEVİ;ERKEK;55-64;1
2012;1;AŞEVİ;KADIN;65+;5
2012;8;AŞEVİ;KADIN;45-54;1
2012;5;AŞEVİ;ERKEK;45-54;1
2012;4;AŞEVİ;KADIN;65+;1
2012;3;AŞEVİ;ERKEK;35-44;1
2012;7;AŞEVİ;KADIN;55-64;1
2012;8;AŞEVİ;ERKEK;45-54;1
2012;3;AŞEVİ;ERKEK;65+;4
2012;6;AŞEVİ;KADIN;35-44;1
2012;4;AŞEVİ;ERKEK;45-54;1
2012;1;AŞEVİ;KADIN;25-34;2
2012;1;AŞEVİ;KADIN;45-54;8
2012;10;AŞEVİ;KADIN;65+;1
2012;3;AŞEVİ;ERKEK;45-54;5
2012;11;AŞEVİ;ERKEK;45-54;3
2012;1;AŞEVİ;KADIN;35-44;2
2012;7;AŞEVİ;KADIN;65+;1
2012;4;AŞEVİ;ERKEK;65+;3
2012;10;AŞEVİ;ERKEK;25-34;1
2012;1;AŞEVİ;ERKEK;65+;27
2012;9;AŞEVİ;ERKEK;65+;1
2012;11;AŞEVİ;KADIN;35-44;1
2012;11;AŞEVİ;ERKEK;55-64;5
2012;1;AŞEVİ;ERKEK;35-44;4
2012;2;AŞEVİ;ERKEK;35-44;2
2012;1;AŞEVİ;ERKEK;55-64;18
2012;10;AŞEVİ;ERKEK;65+;2
2012;5;AŞEVİ;KADIN;65+;1
2012;3;AŞEVİ;KADIN;45-54;1
2012;12;GIDA;KADIN;65+;2
2012;10;GIDA;KADIN;25-34;1565
2012;10;GIDA;ERKEK;65+;6062
2012;10;GIDA;KADIN;65+;8391
2012;11;GIDA;KADIN;35-44;5
2012;10;GIDA;BELİRSİZ;55-64;1
2012;12;GIDA;KADIN;55-64;1
2012;12;GIDA;KADIN;35-44;2
2012;10;GIDA;BELİRSİZ;65+;1
2012;10;GIDA;ERKEK;45-54;4032
2012;10;GIDA;ERKEK;55-64;3601
2012;11;GIDA;KADIN;25-34;2
2012;10;GIDA;ERKEK;18 Altı;1
2012;10;GIDA;KADIN;55-64;5075
2012;10;GIDA;KADIN;18 Altı;2
2012;10;GIDA;ERKEK;35-44;2465
2012;10;GIDA;KADIN;35-44;6899
2012;10;GIDA;ERKEK;25-34;344
2012;11;GIDA;KADIN;55-64;2
2012;5;GIDA;KADIN;35-44;1
2012;10;GIDA;KADIN;18-24;2
2012;6;GIDA;ERKEK;65+;1
2012;10;GIDA;KADIN;45-54;7763
2012;9;HASTA ÖNÜ YEMEK MASASI;ERKEK;55-64;1
2012;7;HASTA ÖNÜ YEMEK MASASI;KADIN;65+;1
2012;7;HASTA ÖNÜ YEMEK MASASI;ERKEK;55-64;2
2012;7;HASTA ÖNÜ YEMEK MASASI;ERKEK;65+;3
2012;9;HASTA ÖNÜ YEMEK MASASI;ERKEK;65+;2
2012;8;HASTA ÖNÜ YEMEK MASASI;ERKEK;18-24;1
2012;8;HASTA ÖNÜ YEMEK MASASI;KADIN;18-24;1
2012;8;HASTA ÖNÜ YEMEK MASASI;KADIN;65+;2
2012;8;HASTA ÖNÜ YEMEK MASASI;ERKEK;65+;3
2012;9;HASTA ÖNÜ YEMEK MASASI;KADIN;35-44;1
2012;7;HASTA ÖNÜ YEMEK MASASI;KADIN;25-34;1
2012;10;HASTA ÖNÜ YEMEK MASASI;ERKEK;25-34;1
2012;8;HASTA YATAĞI;ERKEK;18-24;1
2012;9;HASTA YATAĞI;KADIN;35-44;1
2012;7;HASTA YATAĞI;ERKEK;65+;2
2012;9;HASTA YATAĞI;ERKEK;65+;2
2012;10;HASTA YATAĞI;ERKEK;25-34;1
2012;8;HASTA YATAĞI;ERKEK;65+;3
2012;8;HASTA YATAĞI;KADIN;65+;2
2012;8;HASTA YATAĞI;KADIN;18-24;1
2012;7;HASTA YATAĞI;ERKEK;55-64;2
2012;7;HASTA YATAĞI;KADIN;65+;1
2012;7;HASTA YATAĞI;KADIN;25-34;1
2012;8;MANUEL TEKERLEKLİ SANDALYE;ERKEK;18-24;1
2012;4;NAKDİ YARDIM;KADIN;35-44;2
2012;10;NAKDİ YARDIM;ERKEK;45-54;7931
2012;10;NAKDİ YARDIM;ERKEK;25-34;1019
2012;3;NAKDİ YARDIM;ERKEK;35-44;1
2012;4;NAKDİ YARDIM;ERKEK;25-34;2
2012;11;NAKDİ YARDIM;ERKEK;55-64;35
2012;9;NAKDİ YARDIM;ERKEK;45-54;4
2012;12;NAKDİ YARDIM;KADIN;45-54;11
2012;12;NAKDİ YARDIM;ERKEK;55-64;9
2012;1;NAKDİ YARDIM;KADIN;25-34;3
2012;4;NAKDİ YARDIM;KADIN;65+;1
2012;10;NAKDİ YARDIM;KADIN;25-34;4368
2012;11;NAKDİ YARDIM;KADIN;25-34;114
2012;9;NAKDİ YARDIM;ERKEK;25-34;2
2012;12;NAKDİ YARDIM;ERKEK;35-44;6
2012;1;NAKDİ YARDIM;ERKEK;65+;1
2012;1;NAKDİ YARDIM;ERKEK;35-44;1
2012;5;NAKDİ YARDIM;KADIN;55-64;1
